experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		244137605434		244,137,605,434
104857600::[999821]-[20000]-[64]-[-1]		230174217312		230,174,217,312
104857600::[999821]-[20000]-[128]-[-1]		225641073074		225,641,073,074
104857600::[999821]-[20000]-[256]-[-1]		198036413947		198,036,413,947
104857600::[999821]-[20000]-[1024]-[-1]		186857117539		186,857,117,539
104857600::[999821]-[20000]-[2048]-[-1]		186953965048		186,953,965,048
104857600::[999821]-[20000]-[4096]-[-1]		184621856123		184,621,856,123
104857600::[999821]-[20000]-[16384]-[-1]		167471967780		167,471,967,780
