experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		26364450036		26,364,450,036
104857600::[999821]-[20000]-[64]-[-1]		24101902182		24,101,902,182
104857600::[999821]-[20000]-[128]-[-1]		25922208682		25,922,208,682
104857600::[999821]-[20000]-[256]-[-1]		26231600644		26,231,600,644
104857600::[999821]-[20000]-[1024]-[-1]		21922016203		21,922,016,203
104857600::[999821]-[20000]-[2048]-[-1]		21103178123		21,103,178,123
104857600::[999821]-[20000]-[4096]-[-1]		19611542316		19,611,542,316
104857600::[999821]-[20000]-[16384]-[-1]		18149457742		18,149,457,742
