experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		8935271808		cache
104857600::[999821]-[20000]-[64]-[-1]		8037567057		cache
104857600::[999821]-[20000]-[128]-[-1]		9212982859		cache
104857600::[999821]-[20000]-[256]-[-1]		8857079054		cache
104857600::[999821]-[20000]-[1024]-[-1]		7530175537		cache
104857600::[999821]-[20000]-[2048]-[-1]		6729567268		cache
104857600::[999821]-[20000]-[4096]-[-1]		6276161911		cache
104857600::[999821]-[20000]-[16384]-[-1]		6410494554		cache
