experiment		perf counter		diff between runs
1048576::[99981]-[20000]-[512]-[-1]		4180603203		L1-dcache
1048576::[99981]-[20000]-[512]-[-1]		4180603203		L1-dcache
1048576::[9990]-[20000]-[512]-[-1]		45185804		L1-dcache
1048576::[99904]-[20000]-[512]-[-1]		42557453		L1-dcache
1048576::[9992]-[20000]-[512]-[-1]		141943724		L1-dcache
1048576::[9998]-[20000]-[512]-[-1]		1242377217		L1-dcache
1048576::[999666010]-[20000]-[512]-[-1]		131029846		L1-dcache
1048576::[999777010]-[20000]-[512]-[-1]		104983302		L1-dcache
