experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		479842964709		479,842,964,709
104857600::[999821]-[20000]-[64]-[-1]		482381071491		482,381,071,491
104857600::[999821]-[20000]-[128]-[-1]		466687946871		466,687,946,871
104857600::[999821]-[20000]-[256]-[-1]		420288162878		420,288,162,878
104857600::[999821]-[20000]-[1024]-[-1]		417654017559		417,654,017,559
104857600::[999821]-[20000]-[2048]-[-1]		396581356316		396,581,356,316
104857600::[999821]-[20000]-[4096]-[-1]		374585945782		374,585,945,782
104857600::[999821]-[20000]-[16384]-[-1]		324693152508		324,693,152,508
