experiment		perf counter		diff between runs
1048576::[99981]-[20000]-[512]-[-1]		64063286485		64,063,286,485
1048576::[99981]-[20000]-[512]-[-1]		64063286485		64,063,286,485
1048576::[9990]-[20000]-[512]-[-1]		804953169		804,953,169
1048576::[99904]-[20000]-[512]-[-1]		769125942		769,125,942
1048576::[9992]-[20000]-[512]-[-1]		2109197057		2,109,197,057
1048576::[9998]-[20000]-[512]-[-1]		7205053921		7,205,053,921
1048576::[999666010]-[20000]-[512]-[-1]		1485665933		1,485,665,933
1048576::[999777010]-[20000]-[512]-[-1]		1413665619		1,413,665,619
