experiment		perf counter		diff between runs
1048576::[99981]-[20000]-[512]-[-1]		141442036722		141,442,036,722
1048576::[99981]-[20000]-[512]-[-1]		141442036722		141,442,036,722
1048576::[9990]-[20000]-[512]-[-1]		1199373019		1,199,373,019
1048576::[99904]-[20000]-[512]-[-1]		1169071139		1,169,071,139
1048576::[9992]-[20000]-[512]-[-1]		4214127561		4,214,127,561
1048576::[9998]-[20000]-[512]-[-1]		17909253939		17,909,253,939
1048576::[999666010]-[20000]-[512]-[-1]		3141134776		3,141,134,776
1048576::[999777010]-[20000]-[512]-[-1]		3066194777		3,066,194,777
