experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		30389553226		L1-dcache
104857600::[999821]-[20000]-[64]-[-1]		27776944422		L1-dcache
104857600::[999821]-[20000]-[128]-[-1]		28050127227		L1-dcache
104857600::[999821]-[20000]-[256]-[-1]		29219303636		L1-dcache
104857600::[999821]-[20000]-[1024]-[-1]		25590260866		L1-dcache
104857600::[999821]-[20000]-[2048]-[-1]		22417752415		L1-dcache
104857600::[999821]-[20000]-[4096]-[-1]		24144624069		L1-dcache
104857600::[999821]-[20000]-[16384]-[-1]		23252987024		L1-dcache
