experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		94259425643		94,259,425,643
104857600::[999821]-[20000]-[64]-[-1]		81866689643		81,866,689,643
104857600::[999821]-[20000]-[128]-[-1]		98519197305		98,519,197,305
104857600::[999821]-[20000]-[256]-[-1]		87361082060		87,361,082,060
104857600::[999821]-[20000]-[1024]-[-1]		83682274037		83,682,274,037
104857600::[999821]-[20000]-[2048]-[-1]		79952650089		79,952,650,089
104857600::[999821]-[20000]-[4096]-[-1]		72500462260		72,500,462,260
104857600::[999821]-[20000]-[16384]-[-1]		66481007068		66,481,007,068
