experiment		perf counter		diff between runs
1048576::[99981]-[20000]-[512]-[-1]		4634206727		L1-dcache
1048576::[99981]-[20000]-[512]-[-1]		4634206727		L1-dcache
1048576::[9990]-[20000]-[512]-[-1]		160120328		L1-dcache
1048576::[99904]-[20000]-[512]-[-1]		223048672		L1-dcache
1048576::[9992]-[20000]-[512]-[-1]		234359520		L1-dcache
1048576::[9998]-[20000]-[512]-[-1]		1687388664		L1-dcache
1048576::[999666010]-[20000]-[512]-[-1]		271634449		L1-dcache
1048576::[999777010]-[20000]-[512]-[-1]		252759072		L1-dcache
