experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		301726732836		301,726,732,836
104857600::[999821]-[20000]-[64]-[-1]		354940642541		354,940,642,541
104857600::[999821]-[20000]-[128]-[-1]		362574571147		362,574,571,147
104857600::[999821]-[20000]-[256]-[-1]		333346415635		333,346,415,635
104857600::[999821]-[20000]-[1024]-[-1]		269033799281		269,033,799,281
104857600::[999821]-[20000]-[2048]-[-1]		265865570481		265,865,570,481
104857600::[999821]-[20000]-[4096]-[-1]		242578668760		242,578,668,760
104857600::[999821]-[20000]-[16384]-[-1]		247503875828		247,503,875,828
