experiment		perf counter		diff between runs
1048576::[99981]-[20000]-[512]-[-1]		1443972142		1,443,972,142
1048576::[99981]-[20000]-[512]-[-1]		1443972142		1,443,972,142
1048576::[9990]-[20000]-[512]-[-1]		130268094		130,268,094
1048576::[99904]-[20000]-[512]-[-1]		124232888		124,232,888
1048576::[9992]-[20000]-[512]-[-1]		139373053		139,373,053
1048576::[9998]-[20000]-[512]-[-1]		544059165		544,059,165
1048576::[999666010]-[20000]-[512]-[-1]		157997495		157,997,495
1048576::[999777010]-[20000]-[512]-[-1]		165571703		165,571,703
