experiment		perf counter		diff between runs
1048576::[99981]-[20000]-[512]-[-1]		142039139916		142,039,139,916
1048576::[99981]-[20000]-[512]-[-1]		142039139916		142,039,139,916
1048576::[9990]-[20000]-[512]-[-1]		1961037799		1,961,037,799
1048576::[99904]-[20000]-[512]-[-1]		2174810772		2,174,810,772
1048576::[9992]-[20000]-[512]-[-1]		2767685925		2,767,685,925
1048576::[9998]-[20000]-[512]-[-1]		19365486435		19,365,486,435
1048576::[999666010]-[20000]-[512]-[-1]		3566891810		3,566,891,810
1048576::[999777010]-[20000]-[512]-[-1]		3217544321		3,217,544,321
