experiment		perf counter		diff between runs
1048576::[99981]-[20000]-[512]-[-1]		65990475817		65,990,475,817
1048576::[99981]-[20000]-[512]-[-1]		65990475817		65,990,475,817
1048576::[9990]-[20000]-[512]-[-1]		1679017753		1,679,017,753
1048576::[99904]-[20000]-[512]-[-1]		1608948830		1,608,948,830
1048576::[9992]-[20000]-[512]-[-1]		1862322204		1,862,322,204
1048576::[9998]-[20000]-[512]-[-1]		8913970430		8,913,970,430
1048576::[999666010]-[20000]-[512]-[-1]		2204933474		2,204,933,474
1048576::[999777010]-[20000]-[512]-[-1]		2158295106		2,158,295,106
