experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		11067702360		cache
104857600::[999821]-[20000]-[64]-[-1]		12155218857		cache
104857600::[999821]-[20000]-[128]-[-1]		11594103309		cache
104857600::[999821]-[20000]-[256]-[-1]		9940307568		cache
104857600::[999821]-[20000]-[1024]-[-1]		8640226621		cache
104857600::[999821]-[20000]-[2048]-[-1]		8126018020		cache
104857600::[999821]-[20000]-[4096]-[-1]		7882577109		cache
104857600::[999821]-[20000]-[16384]-[-1]		7423877488		cache
