experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		39572696428		39,572,696,428
104857600::[999821]-[20000]-[64]-[-1]		35416086407		35,416,086,407
104857600::[999821]-[20000]-[128]-[-1]		39425364040		39,425,364,040
104857600::[999821]-[20000]-[256]-[-1]		36470162370		36,470,162,370
104857600::[999821]-[20000]-[1024]-[-1]		32021247532		32,021,247,532
104857600::[999821]-[20000]-[2048]-[-1]		29963583498		29,963,583,498
104857600::[999821]-[20000]-[4096]-[-1]		28632615244		28,632,615,244
104857600::[999821]-[20000]-[16384]-[-1]		29550289600		29,550,289,600
