experiment		perf counter		diff between runs
104857600::[999820]-[20000]-[4096]-[-1]		44900731800		L1-dcache
104857600::[999821]-[20000]-[64]-[-1]		41859412724		L1-dcache
104857600::[999821]-[20000]-[128]-[-1]		44781003545		L1-dcache
104857600::[999821]-[20000]-[256]-[-1]		38511530329		L1-dcache
104857600::[999821]-[20000]-[1024]-[-1]		38882706116		L1-dcache
104857600::[999821]-[20000]-[2048]-[-1]		38873453217		L1-dcache
104857600::[999821]-[20000]-[4096]-[-1]		31952071772		L1-dcache
104857600::[999821]-[20000]-[16384]-[-1]		32472391713		L1-dcache
